# Delta Orionis - RV2 from astridcor
#        HJD        RV1       RVs1            source  dataset
#2454136.5830  -449.2020     0.873     RV2_astridcor     2
#2454809.7255  -285.3850     3.992     RV2_astridcor     2
#2455837.6152   256.6020     2.709     RV2_astridcor     2
#2455837.6294   344.5600     8.587     RV2_astridcor     2
#2456257.4224  -109.8220     9.126     RV2_astridcor     2
#2456596.5631  -488.5940     1.259     RV2_astridcor     2
#2456608.6423  -406.1700    10.301     RV2_astridcor     2
#2456643.6078  -392.9240     8.955     RV2_astridcor     2
#2456666.3166  -451.5860     1.109     RV2_astridcor     2
#2456746.2894  -413.0170     8.022     RV2_astridcor     2
#2456928.5832  -156.6530     7.342     RV2_astridcor     2
#2457364.5793  -434.6620     1.018     RV2_astridcor     2
#2458390.6224    11.1760     4.806     RV2_astridcor     2
#2458402.5225  -392.3410     6.176     RV2_astridcor     2
#2458405.5661    18.6710     4.048     RV2_astridcor     2
 2454809.7226  -166.9410     2.771     RV2_astridcor     2
 2454809.7238  -143.7080     2.627     RV2_astridcor     2
 2454953.4599    -0.8130     2.497     RV2_astridcor     2
 2454953.4615    -1.6070     2.706     RV2_astridcor     2
 2455836.5692    71.2540     4.620     RV2_astridcor     2
#2455836.5827    25.4940     5.500     RV2_astridcor     2
 2455836.5963    78.2800     2.740     RV2_astridcor     2
#2455836.6137    17.1290     5.431     RV2_astridcor     2
#2455836.6287    25.3130     4.367     RV2_astridcor     2
 2455836.6434    81.9250     6.680     RV2_astridcor     2
 2455837.5877   256.8470     3.327     RV2_astridcor     2
 2455837.6016   260.0780     3.033     RV2_astridcor     2
 2455871.5969   224.8440     7.190     RV2_astridcor     2
 2455893.4601   -40.6140     7.673     RV2_astridcor     2
 2455893.4820   -43.4860     3.957     RV2_astridcor     2
 2455953.4009    43.0630     9.240     RV2_astridcor     2
#2455953.4226     6.9780     7.422     RV2_astridcor     2
#2455953.4508    12.1630     5.654     RV2_astridcor     2
 2455953.4692    63.6910     5.454     RV2_astridcor     2
 2455953.4871    50.9180     3.561     RV2_astridcor     2
 2455956.3498   -94.4080     3.572     RV2_astridcor     2
 2455959.2469    47.0360     4.324     RV2_astridcor     2
 2455977.3276  -145.1290     9.505     RV2_astridcor     2
 2455990.3318  -170.8010     5.915     RV2_astridcor     2
 2455991.2779    49.7170     3.960     RV2_astridcor     2
 2455992.2949   252.5680     4.537     RV2_astridcor     2
 2456003.3328   172.3270     3.933     RV2_astridcor     2
#2456011.3498    10.2700     5.467     RV2_astridcor     2
 2456167.6213  -295.0050     6.826     RV2_astridcor     2
 2456241.4709  -207.4540     4.584     RV2_astridcor     2
 2456257.6273   -26.9180     3.772     RV2_astridcor     2
 2456330.3789   240.9590     3.312     RV2_astridcor     2
 2456354.3038   163.7870     5.035     RV2_astridcor     2
 2456357.3761  -138.6530     4.283     RV2_astridcor     2
 2456609.4312  -165.4190     5.321     RV2_astridcor     2
 2456621.6375   -58.2750     4.619     RV2_astridcor     2
 2456629.6451   116.5720     2.910     RV2_astridcor     2
 2456642.5644  -188.1690     4.621     RV2_astridcor     2
 2456643.3817  -299.7680     9.703     RV2_astridcor     2
 2456666.4940  -206.3390     3.478     RV2_astridcor     2
 2456704.3508    72.6460     2.446     RV2_astridcor     2
 2456714.2672   218.6190     2.566     RV2_astridcor     2
 2456719.3096    50.8050     2.732     RV2_astridcor     2
 2456721.3496   126.2160     2.362     RV2_astridcor     2
 2456737.3202   236.0820     2.247     RV2_astridcor     2
 2456738.3020   123.9490     2.613     RV2_astridcor     2
 2457105.2900   155.9290     3.331     RV2_astridcor     2
 2457106.2877   -89.7650     3.235     RV2_astridcor     2
 2457106.3182   -94.5990     3.110     RV2_astridcor     2
 2457116.3066   197.9990     3.580     RV2_astridcor     2
 2457128.2762   109.6650     5.347     RV2_astridcor     2
 2457297.5482  -115.5280     7.847     RV2_astridcor     2
 2457445.3477  -169.8170     3.021     RV2_astridcor     2
 2457464.3540    42.0890     3.628     RV2_astridcor     2
 2458389.5221   114.6850     2.569     RV2_astridcor     2
 2458390.6416  -144.3690     4.894     RV2_astridcor     2
